Job_Role,Company_name,Location,Desired_Experience,Skills_Required,Salary_Expected,Stats,Job_Description,Education
"Data Scientist
IBM India Pvt. Limited4.0(8564 Reviews)",IBM India Pvt. Limited4.0(8564 Reviews),India,0 - 5 years,"Key Skills
NLPArtificial IntelligenceData ScientistClassificationMachine learningComputer VisionDeep Learning",Not Disclosed,Posted: 5 days agoJob Applicants: 618,"Roles and Responsibilities
Introduction
The role will involve running workshops to define the problem statement, identifying the data that is required, cleaning up the data, running feature engineering techniques and building / testing ML/DL models. A combination of one of more of IBM AI technologies from the Watson portfolio, Open Source and 3rd Party technologies will be used to be deliver the required outcomes.


Your Role and Responsibilities
The responsibility of a Data Scientists will include working with Sales, Tech Sales & IBM Clients to define an approach to Machine/Deep Learning problems, building the models and delivering them.


Required Technical and Professional Expertise
Python - 3-5 Years
Machine learning Model (Regression, Classification, Unsupervised techniques, ensemble modeling) - 2-3 Years (Mtech) / 0-1 Years (PhD)
Deep Learning models (Image, NLP, Structured data) - 1-2 Years (Mtech) / 0-1 Years (PhD)
Tech Sales, Sellers, Architects
Cloud native technologies
Agile development



Preferred Technical and Professional Expertise
Specialisation in any of the following fields - NLP, NLU, NLG, Computer Vision, Facial Recognition - 0-2 Years
Good communication
Active listener.","Education
UG :Any Graduate in Any Specialization
PG :M.Tech in Any Specialization
Doctorate :Ph.D in Other Doctorate"
"Principal Data Scientist - Machine/Deep Learning - NLP/Tensorflow
Fidius advisory",Fidius advisory,Bengaluru,8 - 13 years,"Key Skills
TensorflowNLPPyTorchdata scienceproduct managementdesignDeep Learning",Not Disclosed,Posted: 3 days agoJob Applicants: 915,"Job Description :
- We are looking for a researcher who specializes in building personalization/recommender systems algorithm (ML APIs) for the applications mentioned above and work with our engineers to deploy them as scale.
What you will do :
- Apply your research expertise to build our ML-driven recommender system products, help us develop new solutions and unlock new directions, as well as analyse and optimise the systems we already. 
- You'll work closely with product teams and mentor them on best practices for modern ML, and keep the wider team informed on the state-of-the-art. In addition, you will be in a strategic position to influence future roadmaps for recommender system products.
- Collaborate with a cross-functional agile team spanning user research, design, data science, product management, and engineering to build new product features that advance our mission to connect artists and fans in personalized and relevant ways.
- Prototype new approaches and production-ize solutions at scale for our hundreds of thousands of active users. Help drive optimization, testing, and tools to improve quality.
Requirements :
- Master, Post-graduate or Ph.D. in computer science, machine learning, information retrieval, recommendation systems, natural language processing, statistics, math, engineering, operations research, or another quantitative discipline; or equivalent work experience.
- Good theoretical grounding in core machine learning concepts and techniques.
- Ability to perform comprehensive literature reviews and provide critical feedback on state-of-the-art solutions and how they may fit different operating constraints.
- Experience with a number of ML techniques and frameworks, e.g. Natural Language Processing, Recommender Systems, sampling, linear regression, decision trees, SVMs, deep neural networks, etc.
- Familiarity with one or more Deep learning software frameworks such as Tensorflow, PyTorch.","Education
UG :Any Graduate in Any Specialization
PG :M.Tech in Computers, MS/M.Sc(Science) in Computers"
"Data Scientist - Image Recognition/Machine Learning
CarbyneTech India3.1(7 Reviews)",CarbyneTech India3.1(7 Reviews),Hyderabad,5 - 10 years,"Key Skills
NLPData ScientistTime Series AnalysisArtificial IntelligenceData ManagementImage RecognitionDistributed ComputingMachine LearningPhDDeep LearningPython",Not Disclosed,Posted: 10 days agoJob Applicants: 293,"Roles and Responsibilities
Job Description :

- PhD or MS in Computer Science, Computational Linguistics, Artificial Intelligence with a heavy focus on NLPText mining with 5 years of relevant industry experience.

- Creativity, resourcefulness, and a collaborative spirit.

- Knowledge and working experience in one or more of the following areas: Natural Language Processing, Clustering and Classifications of Text, Question Answering, Text Mining, Information Retrieval, Distributional Semantics, Knowledge Engineering, Search Rank and Recommendation.

- Deep experience with text-wrangling and pre-processing skills such as document parsing and cleanup, vectorization, tokenization, language modeling, phrase detection, etc.

- Proficient programming skills in a high-level language (e.g. Python, R, Java, Scala)

- Being comfortable with rapid prototyping practices.

- Being comfortable with developing clean, production-ready code.

- Being comfortable with pre-processing unstructured or semi-structured data.

- Experience with statistical data analysis, experimental design, and hypothesis validation.

Project-based experience with some of the following tools:

- Natural Language Processing (e.g. Spacy, NLTK, OpenNLP or similar)

- Applied Machine Learning (e.g. Scikit-learn, SparkML, H2O or similar)

- Information retrieval and search engines (e.g. ElasticsearchELK, SolrLucene)

- Distributed computing platforms, such as Spark, Hadoop (Hive, Hbase, Pig), GraphLab

- Databases ( traditional and NOSQL)

- Proficiency in traditional Machine Learning models such as LDAtopic modeling, graphical models, etc.

-Familiarity with Deep Learning architectures and frameworks such as Pytorch, Tensorflow, Keras.","Education
UG :Any Graduate in Any Specialization
PG :MCA in Computers, M.Tech in Computers, MS/M.Sc(Science) in Computers
Doctorate :Ph.D in Computers, Doctorate Not Required"
"Data Scientist - Image Processing/Machine Learning
CarbyneTech India3.1(7 Reviews)",CarbyneTech India3.1(7 Reviews),Hyderabad,6 - 11 years,"Key Skills
Predictive ModelingData ScienceData ScientistTime Series AnalysisImage ProcessingData ManagementMachine LearningPredictive Analytics",Not Disclosed,Posted: 10 days agoJob Applicants: 166,"Roles and Responsibilities
Understand business problems, making sense of the data landscape & footprint, performing a combination of exploratory, Machine Learning & Advanced Analytics

Create, experiment with and delivery innovative solutions in a consultative mindset to client stakeholders

Lead teams of analysts to offer exceptional solutions to clients, across domains.

Work Location : Hyderabad

Experience and Qualification for Lead Data Scientist role :

- 6-8 years of experience in working on industrial use cases in data science using Machine Learning for measurement, forecasting, simulation and optimization

- Ability to generate insight out of sparse data and communicate stories; demonstrated ability to engage with client stakeholders at multiple levels and provide consultative solutioning; ability to - create engagement opportunities through advisory

- Demonstrated ability to lead and mentor teams of analysts in solutioning and delivery Background in Applied data science/ Computer Science/ Computer Applications or any quantitative discipline (Statistics, Mathematics, Economics/ Operations Research etc.) from a reputed institute.

- Strong knowledge of fundamentals of Data Science Statistical techniques, hypotheses generation and testing, exploratory data analysis; descriptive /inquisitive/ predictive and prescriptive analysis; proficiency with variety of approaches and models

- Deep knowledge of techniques such as Linear Regression, gradient descent, Logistic Regression, Forecasting, Cluster analysis, Decision trees, Random Forests & SVM, Linear Optimization.

- Ability to work across different domains and get a quick sense of the business processes & flows

- Exceptional communication skills, both verbal and written, with a strong urge to learn, iterate and innovate.","Education
UG :BCA in Computers, B.A in Economics, Statistics, Maths, B.Sc in Maths, Computers, Statistics, B.Tech/B.E. in Computers
PG :Any Postgraduate in Any Specialization
Doctorate :Doctorate Not Required"
"Data Scientist - Image Processing/ Machine Learning
CarbyneTech India3.1(7 Reviews)",CarbyneTech India3.1(7 Reviews),Hyderabad,6 - 11 years,"Key Skills
Predictive ModelingData ScienceData ScientistTime Series AnalysisImage ProcessingData ManagementStatistical AnalystMachine LearningPredictive Analytics",Not Disclosed,Posted: 10 days agoJob Applicants: 116,"Understand business problems, making sense of the data landscape & footprint, performing a combination of exploratory, Machine Learning & Advanced Analytics

Create, experiment with and delivery innovative solutions in a consultative mindset to client stakeholders

Lead teams of analysts to offer exceptional solutions to clients, across domains.

Work Location : Hyderabad

Experience and Qualification for Lead Data Scientist role :

- 6-8 years of experience in working on industrial use cases in data science using Machine Learning for measurement, forecasting, simulation and optimization

- Ability to generate insight out of sparse data and communicate stories; demonstrated ability to engage with client stakeholders at multiple levels and provide consultative solutioning; ability to - create engagement opportunities through advisory

- Demonstrated ability to lead and mentor teams of analysts in solutioning and delivery Background in Applied data science/ Computer Science/Computer Applications or any quantitative discipline (Statistics, Mathematics, Economics/Operations Research etc.) from a reputed institute.

- Strong knowledge of fundamentals of Data Science Statistical techniques, hypotheses generation and testing, exploratory data analysis; descriptive/inquisitive/predictive and prescriptive analysis; proficiency with variety of approaches and models

- Deep knowledge of techniques such as Linear Regression, gradient descent, Logistic Regression, Forecasting, Cluster analysis, Decision trees, Random Forests & SVM, Linear Optimization.

- Ability to work across different domains and get a quick sense of the business processes & flows

- Exceptional communication skills, both verbal and written, with a strong urge to learn, iterate and innovate","Education
UG :BCA in Computers, B.Sc in Any Specialization, B.Tech/B.E. in Any Specialization
PG :Any Postgraduate in Any Specialization
Doctorate :Doctorate Not Required"
"Data Scientist - Machine Learning/APICS
CarbyneTech India3.1(7 Reviews)",CarbyneTech India3.1(7 Reviews),Hyderabad,3 - 8 years,"Key Skills
Data ScienceRNLPArtificial IntelligenceData ManagementMachine LearningPythonPredictive Analytics",Not Disclosed,Posted: 15 days agoJob Applicants: 515,"Roles and Responsibilities
Role : Data Scientist

Required Experience : 3 - 8 Years

Job Requirements :

- 3+ Years of experience in machine learning and AI analytics.

- Expert knowledge in Python, R, Anaconda, Ai, ML, Deep Learning, Neural networks, NLP.

- Manufacturing domain - predictive and online quality analytics - experience would be preferred.

- Knowledge in machine learning models using model-based clustering and generic algorithms for predictions.

- Good educational background - Math and Stat application.

- Methodical and Aggressive learner.

- Must have APICS CPIM Certification .","Education
UG :BCA in Computers, B.Sc in Any Specialization, B.Tech/B.E. in Any Specialization
PG :Any Postgraduate in Any Specialization
Doctorate :Doctorate Not Required"
"Jr. Data Scientist
Wings Infonet Pvt. Ltd.4.0(22 Reviews)",Wings Infonet Pvt. Ltd.4.0(22 Reviews),Hyderabad( Basheer Bagh ),0 - 2 years,"Key Skills
Data ScienceBusiness IntelligenceResearch AnalysisBusiness Insights","₹ 2,00,000 P.A.",Posted: 2 days agoJob Applicants: 510,"Roles and Responsibilities
Looking for a Jr. Data Scientist to analyse information to find patterns that will help improve the data driven organizations.
Build data products to extract valuable business insights.
In this role, one should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data.
Candidates with passion for machine-learning and research will have advantage /preferred
Dedicated to work with client teams on solving our clients business problems with a strong quantitative nature. You will assist our clients through conducting quantitative analysis across the spectrum of marketing, sales, operations, Finance and Human resources. Your goal will be to help clients to analyse trends to make better decisions.
Leveraging your advanced data analysis skills, you will create innovative approaches to answer our clients most relevant questions, to prepare complex data analyses and models that help solve client problems and deliver significant measurable impact.
You will act as an analytics translator, communicating complex data related requirements between business and IT stakeholders. You will have a strong understanding of the design and development process of data analytics tools and experience working with business leaders.
Desired Candidate Profile
Bachelors degree in quantitative field like Computer Science, Engineering.
Distinctive communications skills, Intellectual curiosity, strong people skills, team orientation, and a professional attitude.
Perks and Benefits","Education
UG :B.Tech/B.E. in Computers"
"Sr . Data Scientist I
General Mills4.2(221 Reviews)",General Mills4.2(221 Reviews),Mumbai,12 - 17 years,"Key Skills
Computer scienceData analysisdata scienceMachine learningPLSQLMathematicsStatisticsOperationsAnalyticsPython",Not Disclosed,Posted: 3 days agoOpenings: 1Job Applicants: 19,"Job Details
Qualifications
General Mills is seeking a Data Scientist to join the Data Science and Analytic Engineering team (DSAS) in the Enterprise Data Capabilities function. It is tasked with collaborating with and enabling existing functional data science and analytics teams.
This team also provides data science expertise and services to advance initiatives around demand forecasting, text classification, operational analytics, and machine learning to name just a few.
It is also responsible for curating a community of practice to determine the best standards and practices around data science at General Mills.
70% of Time
Partners with clients to achieve service excellence through improved processes and systems and accurately reads the business partner s readiness for change
Recognizes opportunities to apply external industry trends and implements them within role.
Is considered an expert in at least one of T&S s functional areas; brings together resources, people, and technology to create more effective solutions for their immediate clients
Makes the business case for doing the right work to maximize value
Carefully accesses and knows when to openly question and when to support currently effective approaches
20% of Time
Lead Interactions with stakeholders to learn on problem statement and drive results.
Be an advocate for data science team
Constructively challenge the other data scientists on approach
Contribute to best practices as we evaluate new platforms, tools and pipelines
Mentor Jr. Data Scientist / Interns / Contractors
Collaborate with analytic leaders across functions
10% Of Time
Works on problems of diverse scope.
Demonstrates good judgment in selecting methods and techniques.
Networks with internal and external personnel in own area of expertise.
Lead research work to new analytic trends aligned to business
Demonstrates learning agility and ability to apply to work
Leverage and contribute to new open source innovation
Basic Comments
Should have working knowledge of atleast one database Python is mandatory Hypothesis, p-value, R2, RMSE, MAPE etc
Should have in-depth knowledge and implementation of algorithms 
Knowledge would be a plus Including high level knowhow of broader set of algos Google/AWS/Azure
At least one visualization tool
At least couple models operational CPG would be plus
Manage stakeholders and recommend analytic solutions.","Education
UG :Any Graduate in Any Specialization
PG :Post Graduation Not Required"
"Senior Data Scientist
GANIT BUSINESS SOLUTIONS PRIVATE LIMITED",GANIT BUSINESS SOLUTIONS PRIVATE LIMITED,"Chennai, Mumbai, Bengaluru, Hyderabad",4 - 6 years,"Key Skills
Predictive ModelingLogistic RegressionSegmentationData MiningText MiningMachine LearningRandom ForestSQLData ScienceRegression AnalysisRTime Series AnalysisStatistical ModelingDecision TreesPythonPredictive AnalyticsCluster AnalysisClient Handling","₹ 15,00,000 - 20,00,000 P.A.",Posted: 2 days agoOpenings: 1Job Applicants: 258,"SKILLS :
- 4+ years of experience in data science solutioning design and delivery
- Should have worked with Retail/FMCG/BFSI/QSR projects solving analytical problems in Sales/Marketing/Supply Chain functions
- Very good understanding of Various algorithms, mathematical models, statistical techniques, data mining and text mining Regression models, Clustering/ Segmentation, time series forecasting, Decision trees/Random forest, etc
- Ability to choose the right model for the right data and translate that into code in R, Python, VBA have handled large datasets and good understanding of SQL
- Ability to handle a team of Data Analysts
RESPONSIBILITIES :
- Translate business requirements into technical requirements
- Data extraction, preparation and transformation
- Identify, develop and implement statistical techniques and algorithms that address business challenges and adds value to the organization
- Gather requirements and communicate findings in the form of a meaningful story with the stakeholders
- Create and implement data models
- Interact with clients for queries and delivery adoption","Education
UG :B.Tech/B.E. in Any Specialization"
"Senior Data Scientist
Bundl Technologies Pvt Ltd4.0(857 Reviews)",Bundl Technologies Pvt Ltd4.0(857 Reviews),Bengaluru,2 - 6 years,"Key Skills
Computer scienceIndustry researchData analysisSimulationMachine learningCustomer supportData miningSQLPythonTechnical documentation",Not Disclosed,Posted: Just nowOpenings: 1Job Applicants: Less than 10,"What You will Be Doing
As a Senior Data Scientist on the MFP team, you will be building models that enable Swiggy to deliver on our promises with high efficiency and best experience.
You will work closely with world-class Engineering/Product/Operations teams to build state-of-the-art solutions that deeply impact Swiggy s business and customers.
A Senior Data Scientist is responsible for solving non-trivial, open-ended, high-impact problems impacting delivery efficiency and experience using machine/deep learning, optimization, data mining, statistical analysis and related techniques.
You would apply excellent problem-solving skills and independently scope, deconstruct and formulate solutions from first principles that bring outside-in and state of the art view.
You would have/develop a strong understanding of the business product and conduct data analysis to derive insights, develop hypothesis and validate with sound rigorous methodologies as a precursor to formulating the problems and modeling with ML
You would be owning a significant portion of the charter to drive delivery efficiency and delivery experience via deployment of state-of-the-art models for dispatch optimization
You would be collaborating with product and engineering to design and document an ambitious strategy, identify key metrics to drive, support with proof of concept, develop and execute on prioritized ideas, experiment, scale to achieve direct impact to Swiggy s business
You would be working with and mentoring fellow team members on the owned charter.
You would be contributing to the brand of the organization by publishing blogs, technical papers and presentations at conferences.
Job Requirements
Masters/PhD with focus in areas like Computer Science, Applied Mathematics, ML/DL, Statistics, Operations
Research with 7+ years of industry/research lab experience
Strong depth and breadth in machine/deep learning (theory and practice), optimization methods, data mining, statistics and linear algebra
Hands-on programming experience (intermediate to advanced level PySpark, Python, SQL, Keras/Tensorflow and beginner level Scala) on big data (familiarity with AWS and open-source ecosystem tools) with the ability to manipulate structured and unstructured data
Strong spoken and written communication skills, able to explain complex ideas in a simple, intuitive manner, write/maintain good technical documentation on projects
Experience in mentoring a small team of data scientists preferably in a startup or tech company
Experience with shipping ML data products in an engineering organization interfacing with other teams and departments to deliver impact.","Education
UG :Any Graduate in Any Specialization
PG :Post Graduation Not Required"
