Job_Role,Company_name,Location,Desired_Experience,Skills_Required,Salary_Expected,Education
"data scientist
ibm india pvt. limited4.0(8564 reviews)",ibm india pvt. limited4.0(8564 reviews),['india'],0 - 5 years,"['key skills', 'nlpartificial intelligencedata scientistclassificationmachine learningcomputer visiondeep learning']",not disclosed,"['education', 'ug :any graduate in any specialization', 'pg :m.tech in any specialization', 'doctorate :ph.d in other doctorate']"
"principal data scientist - machine/deep learning - nlp/tensorflow
fidius advisory",fidius advisory,['bengaluru'],8 - 13 years,"['key skills', 'tensorflownlppytorchdata scienceproduct managementdesigndeep learning']",not disclosed,"['education', 'ug :any graduate in any specialization', 'pg :m.tech in computers, ms/m.sc(science) in computers']"
"data scientist - image recognition/machine learning
carbynetech india3.1(7 reviews)",carbynetech india3.1(7 reviews),['hyderabad'],5 - 10 years,"['key skills', 'nlpdata scientisttime series analysisartificial intelligencedata managementimage recognitiondistributed computingmachine learningphddeep learningpython']",not disclosed,"['education', 'ug :any graduate in any specialization', 'pg :mca in computers, m.tech in computers, ms/m.sc(science) in computers', 'doctorate :ph.d in computers, doctorate not required']"
"data scientist - image processing/machine learning
carbynetech india3.1(7 reviews)",carbynetech india3.1(7 reviews),['hyderabad'],6 - 11 years,"['key skills', 'predictive modelingdata sciencedata scientisttime series analysisimage processingdata managementmachine learningpredictive analytics']",not disclosed,"['education', 'ug :bca in computers, b.a in economics, statistics, maths, b.sc in maths, computers, statistics, b.tech/b.e. in computers', 'pg :any postgraduate in any specialization', 'doctorate :doctorate not required']"
"data scientist - image processing/ machine learning
carbynetech india3.1(7 reviews)",carbynetech india3.1(7 reviews),['hyderabad'],6 - 11 years,"['key skills', 'predictive modelingdata sciencedata scientisttime series analysisimage processingdata managementstatistical analystmachine learningpredictive analytics']",not disclosed,"['education', 'ug :bca in computers, b.sc in any specialization, b.tech/b.e. in any specialization', 'pg :any postgraduate in any specialization', 'doctorate :doctorate not required']"
"data scientist - machine learning/apics
carbynetech india3.1(7 reviews)",carbynetech india3.1(7 reviews),['hyderabad'],3 - 8 years,"['key skills', 'data sciencernlpartificial intelligencedata managementmachine learningpythonpredictive analytics']",not disclosed,"['education', 'ug :bca in computers, b.sc in any specialization, b.tech/b.e. in any specialization', 'pg :any postgraduate in any specialization', 'doctorate :doctorate not required']"
"jr. data scientist
wings infonet pvt. ltd.4.0(22 reviews)",wings infonet pvt. ltd.4.0(22 reviews),['hyderabad( basheer bagh )'],0 - 2 years,"['key skills', 'data sciencebusiness intelligenceresearch analysisbusiness insights']","₹ 2,00,000 p.a.","['education', 'ug :b.tech/b.e. in computers']"
"sr . data scientist i
general mills4.2(221 reviews)",general mills4.2(221 reviews),['mumbai'],12 - 17 years,"['key skills', 'computer sciencedata analysisdata sciencemachine learningplsqlmathematicsstatisticsoperationsanalyticspython']",not disclosed,"['education', 'ug :any graduate in any specialization', 'pg :post graduation not required']"
"senior data scientist
ganit business solutions private limited",ganit business solutions private limited,"['chennai', ' mumbai', ' bengaluru', ' hyderabad']",4 - 6 years,"['key skills', 'predictive modelinglogistic regressionsegmentationdata miningtext miningmachine learningrandom forestsqldata scienceregression analysisrtime series analysisstatistical modelingdecision treespythonpredictive analyticscluster analysisclient handling']","₹ 15,00,000 - 20,00,000 p.a.","['education', 'ug :b.tech/b.e. in any specialization']"
"senior data scientist
bundl technologies pvt ltd4.0(857 reviews)",bundl technologies pvt ltd4.0(857 reviews),['bengaluru'],2 - 6 years,"['key skills', 'computer scienceindustry researchdata analysissimulationmachine learningcustomer supportdata miningsqlpythontechnical documentation']",not disclosed,"['education', 'ug :any graduate in any specialization', 'pg :post graduation not required']"
